rowid,wordplay,indicator,clue_rowids
1220,anagram,characters from,"[3655](/data/clues/3655), [470485](/data/clues/470485)"
1221,anagram,characters going wild,[441855](/data/clues/441855)
1222,anagram,characters in a new order,[431332](/data/clues/431332)
1223,anagram,characters out to lunch,[382501](/data/clues/382501)
1224,anagram,characters reincarnated,[376138](/data/clues/376138)
1225,anagram,characters turned out,[348429](/data/clues/348429)
1226,anagram,chastised,[441055](/data/clues/441055)
1227,anagram,chatted,[367875](/data/clues/367875)
1228,anagram,cheated,[107127](/data/clues/107127)
1229,anagram,cheekily,[607501](/data/clues/607501)
1230,anagram,cheeky,"[395221](/data/clues/395221), [422358](/data/clues/422358)"
1231,anagram,chequered,[320349](/data/clues/320349)
1232,anagram,chew,"[495693](/data/clues/495693), [497728](/data/clues/497728)"
1233,anagram,chewed,"[60817](/data/clues/60817), [72051](/data/clues/72051), [111526](/data/clues/111526), [111535](/data/clues/111535), [172468](/data/clues/172468), [218716](/data/clues/218716), [229167](/data/clues/229167), [316160](/data/clues/316160), [337527](/data/clues/337527), [366982](/data/clues/366982), [385728](/data/clues/385728), [386109](/data/clues/386109), [406065](/data/clues/406065), [421207](/data/clues/421207), [436547](/data/clues/436547), [436581](/data/clues/436581), [439457](/data/clues/439457), [442303](/data/clues/442303), [448468](/data/clues/448468), [457296](/data/clues/457296), [459750](/data/clues/459750), [468566](/data/clues/468566), [471777](/data/clues/471777), [474215](/data/clues/474215), [497443](/data/clues/497443), [608027](/data/clues/608027), [625292](/data/clues/625292), [645750](/data/clues/645750)"
1234,anagram,chewed up,"[120527](/data/clues/120527), [301993](/data/clues/301993), [304806](/data/clues/304806), [368902](/data/clues/368902), [432168](/data/clues/432168), [472792](/data/clues/472792), [487266](/data/clues/487266), [584299](/data/clues/584299), [586568](/data/clues/586568), [627221](/data/clues/627221)"
1235,anagram,chewing,"[334562](/data/clues/334562), [389774](/data/clues/389774), [471153](/data/clues/471153), [482769](/data/clues/482769), [642332](/data/clues/642332)"
1236,anagram,childish,[646431](/data/clues/646431)
1237,anagram,chirpy,[381469](/data/clues/381469)
1238,anagram,chomping,[442229](/data/clues/442229)
1239,anagram,chop up,[432963](/data/clues/432963)
1240,anagram,chopped,"[100445](/data/clues/100445), [140132](/data/clues/140132), [164873](/data/clues/164873), [174221](/data/clues/174221), [312126](/data/clues/312126), [337794](/data/clues/337794), [343694](/data/clues/343694), [398227](/data/clues/398227), [410136](/data/clues/410136), [422785](/data/clues/422785), [466036](/data/clues/466036), [472285](/data/clues/472285), [473805](/data/clues/473805), [486392](/data/clues/486392), [487102](/data/clues/487102), [584411](/data/clues/584411), [584563](/data/clues/584563), [584682](/data/clues/584682), [585413](/data/clues/585413), [586290](/data/clues/586290), [615131](/data/clues/615131), [664163](/data/clues/664163)"
1241,anagram,chopped up,"[22855](/data/clues/22855), [171236](/data/clues/171236), [319589](/data/clues/319589), [330030](/data/clues/330030), [383245](/data/clues/383245), [403234](/data/clues/403234), [415170](/data/clues/415170), [417107](/data/clues/417107), [451496](/data/clues/451496), [463421](/data/clues/463421), [591714](/data/clues/591714), [592364](/data/clues/592364), [610762](/data/clues/610762), [638372](/data/clues/638372)"
1242,anagram,chopping,[455436](/data/clues/455436)
1243,anagram,chopping up,[641745](/data/clues/641745)
1244,anagram,choppy,"[56046](/data/clues/56046), [303868](/data/clues/303868), [329961](/data/clues/329961), [417732](/data/clues/417732), [438255](/data/clues/438255), [438395](/data/clues/438395), [438676](/data/clues/438676), [466137](/data/clues/466137), [479703](/data/clues/479703), [481164](/data/clues/481164), [495629](/data/clues/495629), [649219](/data/clues/649219)"
1245,anagram,chops,"[408796](/data/clues/408796), [480190](/data/clues/480190), [618780](/data/clues/618780)"
1246,anagram,choreographed,[484922](/data/clues/484922)
1247,anagram,chronic,[397909](/data/clues/397909)
1248,anagram,chucked,[469657](/data/clues/469657)
1249,anagram,chucked up,[136696](/data/clues/136696)
1250,anagram,chucking,[413209](/data/clues/413209)
1251,anagram,churn,[445619](/data/clues/445619)
1252,anagram,churned,"[33143](/data/clues/33143), [323450](/data/clues/323450), [498604](/data/clues/498604), [584846](/data/clues/584846)"
1253,anagram,churned up,"[239209](/data/clues/239209), [378388](/data/clues/378388), [436731](/data/clues/436731), [438797](/data/clues/438797), [455906](/data/clues/455906)"
1254,anagram,churning,"[142263](/data/clues/142263), [381847](/data/clues/381847), [446051](/data/clues/446051), [463018](/data/clues/463018), [661452](/data/clues/661452)"
1255,anagram,churning out,"[53202](/data/clues/53202), [369406](/data/clues/369406), [402813](/data/clues/402813)"
1256,anagram,churning up,"[82539](/data/clues/82539), [451176](/data/clues/451176), [456137](/data/clues/456137)"
1257,anagram,churns,[162923](/data/clues/162923)
1258,anagram,circles,[448752](/data/clues/448752)
1259,anagram,circling,"[301046](/data/clues/301046), [306097](/data/clues/306097), [390351](/data/clues/390351), [393509](/data/clues/393509), [416495](/data/clues/416495)"
1260,anagram,circling round,[450542](/data/clues/450542)
1261,anagram,circuitous,"[430257](/data/clues/430257), [446170](/data/clues/446170)"
1262,anagram,circulate,[210085](/data/clues/210085)
1263,anagram,circulated,"[309416](/data/clues/309416), [311159](/data/clues/311159), [330378](/data/clues/330378), [350636](/data/clues/350636), [387699](/data/clues/387699), [424438](/data/clues/424438), [465358](/data/clues/465358), [597770](/data/clues/597770), [648604](/data/clues/648604)"
1264,anagram,circulated with,[662776](/data/clues/662776)
1265,anagram,circulating,"[33775](/data/clues/33775), [37722](/data/clues/37722), [46643](/data/clues/46643), [186868](/data/clues/186868), [207280](/data/clues/207280), [307652](/data/clues/307652), [309574](/data/clues/309574), [317760](/data/clues/317760), [326053](/data/clues/326053), [327557](/data/clues/327557), [352382](/data/clues/352382), [354607](/data/clues/354607), [393405](/data/clues/393405), [402518](/data/clues/402518), [417914](/data/clues/417914), [436432](/data/clues/436432), [445074](/data/clues/445074), [451978](/data/clues/451978), [623605](/data/clues/623605), [666919](/data/clues/666919)"
1266,anagram,clapped,[349019](/data/clues/349019)
1267,anagram,clashed,[459436](/data/clues/459436)
1268,anagram,clashes,"[438662](/data/clues/438662), [610892](/data/clues/610892)"
1269,anagram,clashing,"[78736](/data/clues/78736), [377093](/data/clues/377093), [389044](/data/clues/389044), [434042](/data/clues/434042), [460031](/data/clues/460031), [469694](/data/clues/469694)"
1270,anagram,cleaned,[451971](/data/clues/451971)
1271,anagram,cleaned up,[431200](/data/clues/431200)
1272,anagram,clenched,[460870](/data/clues/460870)
1273,anagram,clippings,[416181](/data/clues/416181)
1274,anagram,clobber,"[154927](/data/clues/154927), [341621](/data/clues/341621)"
1275,anagram,clobbered,"[139953](/data/clues/139953), [407021](/data/clues/407021)"
1276,anagram,clout about,[388567](/data/clues/388567)
1277,anagram,clowning,"[436233](/data/clues/436233), [494966](/data/clues/494966)"
1278,anagram,clowning about,[214416](/data/clues/214416)
1279,anagram,clowning around,[589073](/data/clues/589073)
1280,anagram,club,[648385](/data/clues/648385)
1281,anagram,clubbing,[405717](/data/clues/405717)
1282,anagram,clumsily,"[34670](/data/clues/34670), [37834](/data/clues/37834), [169757](/data/clues/169757), [331342](/data/clues/331342), [335416](/data/clues/335416), [343310](/data/clues/343310), [373793](/data/clues/373793), [410899](/data/clues/410899), [413378](/data/clues/413378), [427829](/data/clues/427829), [452148](/data/clues/452148), [480391](/data/clues/480391), [585206](/data/clues/585206), [588130](/data/clues/588130), [589183](/data/clues/589183), [592757](/data/clues/592757), [599370](/data/clues/599370), [601022](/data/clues/601022), [635535](/data/clues/635535), [667253](/data/clues/667253)"
1283,anagram,clumsy,"[62777](/data/clues/62777), [104108](/data/clues/104108), [326853](/data/clues/326853), [359962](/data/clues/359962), [391390](/data/clues/391390), [407369](/data/clues/407369), [407950](/data/clues/407950), [432960](/data/clues/432960), [451451](/data/clues/451451), [493029](/data/clues/493029), [618673](/data/clues/618673), [634831](/data/clues/634831)"
1284,anagram,coach,[208664](/data/clues/208664)
1285,anagram,cocked,[452622](/data/clues/452622)
1286,anagram,cocked up,[412124](/data/clues/412124)
1287,anagram,cocktail,"[20145](/data/clues/20145), [41338](/data/clues/41338), [98344](/data/clues/98344), [98344](/data/clues/98344), [117846](/data/clues/117846), [185959](/data/clues/185959), [287630](/data/clues/287630), [305164](/data/clues/305164), [312214](/data/clues/312214), [323621](/data/clues/323621), [325398](/data/clues/325398), [342396](/data/clues/342396), [363726](/data/clues/363726), [373158](/data/clues/373158), [374984](/data/clues/374984), [376526](/data/clues/376526), [377622](/data/clues/377622), [384482](/data/clues/384482), [399215](/data/clues/399215), [401847](/data/clues/401847), [403980](/data/clues/403980), [407317](/data/clues/407317), [408806](/data/clues/408806), [410691](/data/clues/410691), [412144](/data/clues/412144), [412753](/data/clues/412753), [422417](/data/clues/422417), [422504](/data/clues/422504), [428969](/data/clues/428969), [429468](/data/clues/429468), [435888](/data/clues/435888), [445838](/data/clues/445838), [448277](/data/clues/448277), [451132](/data/clues/451132), [453561](/data/clues/453561), [465911](/data/clues/465911), [467896](/data/clues/467896), [483354](/data/clues/483354), [483492](/data/clues/483492), [487972](/data/clues/487972), [490652](/data/clues/490652), [491601](/data/clues/491601), [493444](/data/clues/493444), [499056](/data/clues/499056), [594237](/data/clues/594237), [606743](/data/clues/606743), [663098](/data/clues/663098), [663972](/data/clues/663972)"
1288,anagram,cocktail of,[295014](/data/clues/295014)
1289,anagram,cod,"[414581](/data/clues/414581), [452435](/data/clues/452435), [468736](/data/clues/468736)"
1290,anagram,code,[484517](/data/clues/484517)
1291,anagram,coded,"[106500](/data/clues/106500), [429579](/data/clues/429579)"
1292,anagram,coding,[411142](/data/clues/411142)
1293,anagram,coerced,[447129](/data/clues/447129)
1294,anagram,coiled,"[215602](/data/clues/215602), [495323](/data/clues/495323), [628655](/data/clues/628655)"
1295,anagram,coils,[462385](/data/clues/462385)
1296,anagram,coined,[186204](/data/clues/186204)
1297,anagram,collapse,"[41037](/data/clues/41037), [232147](/data/clues/232147), [235442](/data/clues/235442), [240390](/data/clues/240390), [319017](/data/clues/319017), [322235](/data/clues/322235), [355291](/data/clues/355291), [409953](/data/clues/409953), [413010](/data/clues/413010), [414198](/data/clues/414198), [420130](/data/clues/420130), [451391](/data/clues/451391), [453802](/data/clues/453802), [455014](/data/clues/455014), [461697](/data/clues/461697), [474056](/data/clues/474056), [483466](/data/clues/483466), [487594](/data/clues/487594), [497429](/data/clues/497429)"
1298,anagram,collapse of,[134757](/data/clues/134757)
1299,anagram,collapsed,"[106014](/data/clues/106014), [138649](/data/clues/138649), [189691](/data/clues/189691), [233128](/data/clues/233128), [287056](/data/clues/287056), [292286](/data/clues/292286), [292734](/data/clues/292734), [298789](/data/clues/298789), [311908](/data/clues/311908), [314934](/data/clues/314934), [320678](/data/clues/320678), [327347](/data/clues/327347), [330251](/data/clues/330251), [344367](/data/clues/344367), [407617](/data/clues/407617), [423672](/data/clues/423672), [448822](/data/clues/448822), [452753](/data/clues/452753), [457728](/data/clues/457728), [464781](/data/clues/464781), [467482](/data/clues/467482), [497975](/data/clues/497975), [568044](/data/clues/568044), [626936](/data/clues/626936), [629383](/data/clues/629383), [634692](/data/clues/634692), [643876](/data/clues/643876), [646876](/data/clues/646876)"
1300,anagram,collapses,"[11463](/data/clues/11463), [82567](/data/clues/82567), [398070](/data/clues/398070), [414046](/data/clues/414046), [593702](/data/clues/593702), [662340](/data/clues/662340)"
1301,anagram,collapsing,"[2782](/data/clues/2782), [139917](/data/clues/139917), [149710](/data/clues/149710), [271297](/data/clues/271297), [327515](/data/clues/327515), [329055](/data/clues/329055), [337812](/data/clues/337812), [378838](/data/clues/378838), [411319](/data/clues/411319), [430842](/data/clues/430842), [444943](/data/clues/444943), [450626](/data/clues/450626), [451702](/data/clues/451702), [470070](/data/clues/470070), [616338](/data/clues/616338), [648957](/data/clues/648957), [649437](/data/clues/649437), [661319](/data/clues/661319), [663666](/data/clues/663666)"
1302,anagram,collect,[644595](/data/clues/644595)
1303,anagram,collected,"[27549](/data/clues/27549), [130134](/data/clues/130134), [344299](/data/clues/344299), [471528](/data/clues/471528)"
1304,anagram,collecting,[307359](/data/clues/307359)
1305,anagram,collection,"[143116](/data/clues/143116), [368051](/data/clues/368051), [447311](/data/clues/447311), [448521](/data/clues/448521), [496123](/data/clues/496123)"
1306,anagram,combination,"[428689](/data/clues/428689), [441988](/data/clues/441988)"
1307,anagram,combine,"[401133](/data/clues/401133), [405286](/data/clues/405286), [411397](/data/clues/411397)"
1308,anagram,combined,"[421717](/data/clues/421717), [456325](/data/clues/456325)"
1309,anagram,combining,[408520](/data/clues/408520)
1310,anagram,combo,[423799](/data/clues/423799)
1311,anagram,come round,"[254224](/data/clues/254224), [410534](/data/clues/410534)"
1312,anagram,come to pieces,[484094](/data/clues/484094)
1313,anagram,come unstuck,[388223](/data/clues/388223)
1314,anagram,comedy of,[496595](/data/clues/496595)
1315,anagram,comes from,[473463](/data/clues/473463)
1316,anagram,comes from this,[475048](/data/clues/475048)
1317,anagram,comes out of,[427027](/data/clues/427027)
1318,anagram,comes round,"[190769](/data/clues/190769), [457550](/data/clues/457550)"
1319,anagram,comes unstuck,[179561](/data/clues/179561)
1320,anagram,comic,"[89681](/data/clues/89681), [140904](/data/clues/140904), [185661](/data/clues/185661), [212008](/data/clues/212008), [217666](/data/clues/217666), [255474](/data/clues/255474), [310803](/data/clues/310803), [318398](/data/clues/318398), [332126](/data/clues/332126), [335663](/data/clues/335663), [348574](/data/clues/348574), [351069](/data/clues/351069), [351435](/data/clues/351435), [355134](/data/clues/355134), [361070](/data/clues/361070), [365184](/data/clues/365184), [370056](/data/clues/370056), [373472](/data/clues/373472), [380478](/data/clues/380478), [395503](/data/clues/395503), [403073](/data/clues/403073), [413005](/data/clues/413005), [416419](/data/clues/416419), [427606](/data/clues/427606), [432041](/data/clues/432041), [440116](/data/clues/440116), [449696](/data/clues/449696), [463728](/data/clues/463728), [465731](/data/clues/465731), [481335](/data/clues/481335), [487310](/data/clues/487310), [487620](/data/clues/487620), [492028](/data/clues/492028), [495354](/data/clues/495354), [499122](/data/clues/499122), [499592](/data/clues/499592), [627715](/data/clues/627715)"
1321,anagram,comical,"[364238](/data/clues/364238), [663088](/data/clues/663088)"
1322,anagram,comically,"[382369](/data/clues/382369), [389326](/data/clues/389326), [468362](/data/clues/468362)"
1323,anagram,coming around,[290005](/data/clues/290005)
1324,anagram,coming from,"[199374](/data/clues/199374), [332283](/data/clues/332283), [332564](/data/clues/332564), [412570](/data/clues/412570), [466656](/data/clues/466656), [646020](/data/clues/646020)"
1325,anagram,coming loose,"[346978](/data/clues/346978), [347295](/data/clues/347295)"
1326,anagram,coming out,"[78144](/data/clues/78144), [317333](/data/clues/317333), [416868](/data/clues/416868), [472852](/data/clues/472852), [643180](/data/clues/643180), [659904](/data/clues/659904)"
1327,anagram,coming out badly,[318174](/data/clues/318174)
1328,anagram,coming out of,[179567](/data/clues/179567)
1329,anagram,coming round,[488798](/data/clues/488798)
1330,anagram,coming to grief,"[455733](/data/clues/455733), [615171](/data/clues/615171)"
1331,anagram,coming undone,[583230](/data/clues/583230)
1332,anagram,coming unstuck,"[335083](/data/clues/335083), [338026](/data/clues/338026), [342225](/data/clues/342225)"
1333,anagram,commotion,[426910](/data/clues/426910)
1334,anagram,commuting,"[437482](/data/clues/437482), [497396](/data/clues/497396)"
1335,anagram,compilation,[450106](/data/clues/450106)
1336,anagram,compiled,"[183509](/data/clues/183509), [301127](/data/clues/301127), [335278](/data/clues/335278), [341262](/data/clues/341262), [382252](/data/clues/382252), [385902](/data/clues/385902), [471951](/data/clues/471951)"
1337,anagram,completely different,[30257](/data/clues/30257)
1338,anagram,complex,"[1196](/data/clues/1196), [17976](/data/clues/17976), [42146](/data/clues/42146), [69343](/data/clues/69343), [93125](/data/clues/93125), [97835](/data/clues/97835), [127941](/data/clues/127941), [147352](/data/clues/147352), [184651](/data/clues/184651), [232469](/data/clues/232469), [296641](/data/clues/296641), [297095](/data/clues/297095), [302488](/data/clues/302488), [307045](/data/clues/307045), [313037](/data/clues/313037), [316383](/data/clues/316383), [319670](/data/clues/319670), [320122](/data/clues/320122), [322016](/data/clues/322016), [327052](/data/clues/327052), [335954](/data/clues/335954), [337965](/data/clues/337965), [341022](/data/clues/341022), [350708](/data/clues/350708), [355511](/data/clues/355511), [358292](/data/clues/358292), [358773](/data/clues/358773), [361269](/data/clues/361269), [363429](/data/clues/363429), [363473](/data/clues/363473), [389807](/data/clues/389807), [392501](/data/clues/392501), [396137](/data/clues/396137), [410822](/data/clues/410822), [412221](/data/clues/412221), [412355](/data/clues/412355), [423717](/data/clues/423717), [429599](/data/clues/429599), [448170](/data/clues/448170), [448413](/data/clues/448413), [450142](/data/clues/450142), [453986](/data/clues/453986), [458407](/data/clues/458407), [465713](/data/clues/465713), [481437](/data/clues/481437), [482647](/data/clues/482647), [483167](/data/clues/483167), [586987](/data/clues/586987), [605224](/data/clues/605224), [630437](/data/clues/630437), [644826](/data/clues/644826), [658713](/data/clues/658713), [662000](/data/clues/662000)"
1339,anagram,complicate,[477555](/data/clues/477555)
1340,anagram,complicated,"[56859](/data/clues/56859), [58782](/data/clues/58782), [149721](/data/clues/149721), [245363](/data/clues/245363), [257753](/data/clues/257753), [273486](/data/clues/273486), [282507](/data/clues/282507), [294791](/data/clues/294791), [298311](/data/clues/298311), [300173](/data/clues/300173), [304121](/data/clues/304121), [305904](/data/clues/305904), [309192](/data/clues/309192), [311296](/data/clues/311296), [311388](/data/clues/311388), [352134](/data/clues/352134), [377366](/data/clues/377366), [381426](/data/clues/381426), [403832](/data/clues/403832), [404650](/data/clues/404650), [413397](/data/clues/413397), [424726](/data/clues/424726), [427474](/data/clues/427474), [432784](/data/clues/432784), [436930](/data/clues/436930), [438226](/data/clues/438226), [441474](/data/clues/441474), [444121](/data/clues/444121), [448827](/data/clues/448827), [453915](/data/clues/453915), [454980](/data/clues/454980), [482829](/data/clues/482829), [495651](/data/clues/495651), [498625](/data/clues/498625), [594016](/data/clues/594016), [629311](/data/clues/629311), [644336](/data/clues/644336), [665529](/data/clues/665529)"
1341,anagram,complication,[492851](/data/clues/492851)
1342,anagram,components put together,[453361](/data/clues/453361)
1343,anagram,compose,"[322677](/data/clues/322677), [392898](/data/clues/392898)"
1344,anagram,composed,"[26086](/data/clues/26086), [35701](/data/clues/35701), [37709](/data/clues/37709), [93028](/data/clues/93028), [102704](/data/clues/102704), [112157](/data/clues/112157), [126839](/data/clues/126839), [134165](/data/clues/134165), [166280](/data/clues/166280), [169648](/data/clues/169648), [174994](/data/clues/174994), [218718](/data/clues/218718), [220211](/data/clues/220211), [234682](/data/clues/234682), [234684](/data/clues/234684), [300010](/data/clues/300010), [300351](/data/clues/300351), [307966](/data/clues/307966), [310123](/data/clues/310123), [311634](/data/clues/311634), [323408](/data/clues/323408), [328505](/data/clues/328505), [334087](/data/clues/334087), [337053](/data/clues/337053), [338333](/data/clues/338333), [342229](/data/clues/342229), [349532](/data/clues/349532), [358796](/data/clues/358796), [370152](/data/clues/370152), [372815](/data/clues/372815), [375815](/data/clues/375815), [381222](/data/clues/381222), [386211](/data/clues/386211), [387219](/data/clues/387219), [388372](/data/clues/388372), [389099](/data/clues/389099), [390497](/data/clues/390497), [397637](/data/clues/397637), [401774](/data/clues/401774), [403590](/data/clues/403590), [403679](/data/clues/403679), [407171](/data/clues/407171), [417051](/data/clues/417051), [419536](/data/clues/419536), [424122](/data/clues/424122), [426171](/data/clues/426171), [428426](/data/clues/428426), [428436](/data/clues/428436), [428753](/data/clues/428753), [429459](/data/clues/429459), [431720](/data/clues/431720), [432249](/data/clues/432249), [436167](/data/clues/436167), [438378](/data/clues/438378), [440023](/data/clues/440023), [448411](/data/clues/448411), [453137](/data/clues/453137), [460741](/data/clues/460741), [461759](/data/clues/461759), [461872](/data/clues/461872), [471590](/data/clues/471590), [480026](/data/clues/480026), [480538](/data/clues/480538), [480889](/data/clues/480889), [492312](/data/clues/492312), [492643](/data/clues/492643), [597953](/data/clues/597953), [599571](/data/clues/599571), [600640](/data/clues/600640), [607808](/data/clues/607808), [611071](/data/clues/611071), [621702](/data/clues/621702), [622458](/data/clues/622458), [638462](/data/clues/638462), [645704](/data/clues/645704), [649396](/data/clues/649396), [661140](/data/clues/661140), [662632](/data/clues/662632), [662663](/data/clues/662663), [662734](/data/clues/662734), [663600](/data/clues/663600), [665671](/data/clues/665671), [666795](/data/clues/666795)"
1345,anagram,composed of rose red characters,[418085](/data/clues/418085)
1346,anagram,composing,"[376140](/data/clues/376140), [416584](/data/clues/416584), [460359](/data/clues/460359), [500461](/data/clues/500461), [624536](/data/clues/624536), [663050](/data/clues/663050)"
1347,anagram,composition,"[11866](/data/clues/11866), [37671](/data/clues/37671), [65009](/data/clues/65009), [98119](/data/clues/98119), [99474](/data/clues/99474), [171958](/data/clues/171958), [190167](/data/clues/190167), [291350](/data/clues/291350), [330978](/data/clues/330978), [372042](/data/clues/372042), [395372](/data/clues/395372), [400866](/data/clues/400866), [404627](/data/clues/404627), [408012](/data/clues/408012), [418462](/data/clues/418462), [421708](/data/clues/421708), [423021](/data/clues/423021), [425221](/data/clues/425221), [442934](/data/clues/442934), [444244](/data/clues/444244), [450569](/data/clues/450569), [452617](/data/clues/452617), [474267](/data/clues/474267), [482817](/data/clues/482817), [483771](/data/clues/483771), [487172](/data/clues/487172), [487943](/data/clues/487943)"
1348,anagram,compost,[427655](/data/clues/427655)
1349,anagram,composure,[454863](/data/clues/454863)
1350,anagram,compound,"[58477](/data/clues/58477), [86380](/data/clues/86380), [137077](/data/clues/137077), [295744](/data/clues/295744), [296107](/data/clues/296107), [335453](/data/clues/335453), [413511](/data/clues/413511), [418739](/data/clues/418739), [432923](/data/clues/432923), [458264](/data/clues/458264), [489406](/data/clues/489406)"
1351,anagram,compound of,[110162](/data/clues/110162)
1352,anagram,compounded,"[305801](/data/clues/305801), [453362](/data/clues/453362)"
1353,anagram,compounds,"[46638](/data/clues/46638), [327619](/data/clues/327619), [416898](/data/clues/416898)"
1354,anagram,comprising,[458790](/data/clues/458790)
1355,anagram,compromised,"[395021](/data/clues/395021), [415998](/data/clues/415998), [433046](/data/clues/433046), [435151](/data/clues/435151), [489389](/data/clues/489389), [610569](/data/clues/610569)"
1356,anagram,compromising,[90923](/data/clues/90923)
1357,anagram,concealed,[418688](/data/clues/418688)
1358,anagram,conceivably,[460757](/data/clues/460757)
1359,anagram,concocted,"[20147](/data/clues/20147), [24568](/data/clues/24568), [71912](/data/clues/71912), [280394](/data/clues/280394), [302672](/data/clues/302672), [315426](/data/clues/315426), [315704](/data/clues/315704), [319941](/data/clues/319941), [343357](/data/clues/343357), [352216](/data/clues/352216), [356028](/data/clues/356028), [375635](/data/clues/375635), [386404](/data/clues/386404), [390402](/data/clues/390402), [392249](/data/clues/392249), [413387](/data/clues/413387), [423134](/data/clues/423134), [426125](/data/clues/426125), [431409](/data/clues/431409), [433275](/data/clues/433275), [434595](/data/clues/434595), [445087](/data/clues/445087), [468551](/data/clues/468551), [480716](/data/clues/480716), [485770](/data/clues/485770), [499232](/data/clues/499232), [595845](/data/clues/595845), [628167](/data/clues/628167)"
1360,anagram,concocting,[303406](/data/clues/303406)
1361,anagram,concoction,"[40821](/data/clues/40821), [58719](/data/clues/58719), [198939](/data/clues/198939), [381097](/data/clues/381097), [409487](/data/clues/409487), [441380](/data/clues/441380), [452932](/data/clues/452932), [462736](/data/clues/462736), [496183](/data/clues/496183), [609086](/data/clues/609086)"
1362,anagram,concoction of,[404596](/data/clues/404596)
1363,anagram,condemned,"[99451](/data/clues/99451), [307857](/data/clues/307857), [317763](/data/clues/317763), [318766](/data/clues/318766), [435527](/data/clues/435527), [435983](/data/clues/435983), [470601](/data/clues/470601), [568018](/data/clues/568018), [615206](/data/clues/615206), [615538](/data/clues/615538), [646455](/data/clues/646455)"
1364,anagram,condemning,[311753](/data/clues/311753)
1365,anagram,condition,"[226341](/data/clues/226341), [644486](/data/clues/644486)"
1366,anagram,conditions,[435484](/data/clues/435484)
1367,anagram,conducting,[401845](/data/clues/401845)
1368,anagram,confection,"[155726](/data/clues/155726), [433420](/data/clues/433420), [444119](/data/clues/444119), [450188](/data/clues/450188)"
1369,anagram,configuring,[427240](/data/clues/427240)
1370,anagram,conflation,"[355853](/data/clues/355853), [417545](/data/clues/417545)"
1371,anagram,conflicted,[418023](/data/clues/418023)
1372,anagram,conflicts,[481327](/data/clues/481327)
1373,anagram,confounded,"[146410](/data/clues/146410), [164162](/data/clues/164162), [389762](/data/clues/389762), [398000](/data/clues/398000), [398772](/data/clues/398772), [399491](/data/clues/399491), [479190](/data/clues/479190), [618507](/data/clues/618507), [627124](/data/clues/627124)"
1374,anagram,confounding,"[330675](/data/clues/330675), [412646](/data/clues/412646)"
1375,anagram,confuse,"[405351](/data/clues/405351), [411884](/data/clues/411884), [432520](/data/clues/432520)"
